<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MDMG;60;07/10/24;110000;880.8;882;875;876.6;6221
MDMG;60;07/10/24;120000;876.5;876.5;874;874.1;4026
MDMG;60;07/10/24;130000;874.2;874.5;865;867.6;9721
MDMG;60;07/10/24;140000;868.4;868.5;865;865.4;6102
MDMG;60;07/10/24;150000;865.4;865.5;860.2;865.1;7054
MDMG;60;07/10/24;160000;865.3;868.9;864;866.4;5957
MDMG;60;07/10/24;170000;866.4;869.6;866.2;869.5;4326
MDMG;60;07/10/24;180000;869.3;872.7;868.3;869.9;13031
MDMG;60;07/10/24;190000;869.9;870.9;866.4;869.9;4191
MDMG;60;08/10/24;110000;869;869;861;864.4;6360
MDMG;60;08/10/24;120000;864.1;864.8;862.5;863.7;3916
MDMG;60;08/10/24;130000;863.7;869.3;863.4;865.5;4279
MDMG;60;08/10/24;140000;865.5;870;865.4;868.9;5317
MDMG;60;08/10/24;150000;868.6;868.7;866;868.2;7000
MDMG;60;08/10/24;160000;868.3;868.7;866;866.2;1787
MDMG;60;08/10/24;170000;866.2;868;865.8;867.2;3035
MDMG;60;08/10/24;180000;867.1;867.2;866.5;867.2;4515
MDMG;60;08/10/24;190000;867.2;867.2;866.5;867.1;2253
MDMG;60;09/10/24;110000;869.9;873.6;865;868.4;16979
MDMG;60;09/10/24;120000;868.2;888.8;866.7;877.1;43003
MDMG;60;09/10/24;130000;877.1;877.6;875;876.6;7630
MDMG;60;09/10/24;140000;876.5;877.8;868.2;875.5;16062
MDMG;60;09/10/24;150000;875.5;885.8;870;873.6;41080
MDMG;60;09/10/24;160000;872;872.4;870;871.5;9818
MDMG;60;09/10/24;170000;871.4;873;870.6;872.7;3699
MDMG;60;09/10/24;180000;872.1;872.7;870;870;3465
MDMG;60;09/10/24;190000;870.3;873.7;870;870;8229
MDMG;60;10/10/24;110000;871.5;876.1;865;868.9;12163
MDMG;60;10/10/24;120000;868.8;879.3;868.8;876.1;7528
MDMG;60;10/10/24;130000;876;877.4;873.2;875.7;6936
MDMG;60;10/10/24;140000;875.8;876.1;875;875.4;4578
MDMG;60;10/10/24;150000;875.2;875.5;872.1;874.6;2988
MDMG;60;10/10/24;160000;874.6;875;872.6;874.5;1334
MDMG;60;10/10/24;170000;875;876;874;876;1914
MDMG;60;10/10/24;180000;876;876.5;875;876.1;2708
MDMG;60;10/10/24;190000;876.1;877.9;875.6;876.2;4346
MDMG;60;11/10/24;110000;875;877;872.1;872.5;5698
